step,t,gfr_proxy,FGF23,PTH,serum_phos_proxy,psi,constraint_state
353,17.65,1.4,2.969,349.329,1.388,218.3296,P-EXCESS
354,17.7,1.4,2.969,352.604,1.388,219.3787,P-EXCESS
355,17.75,1.4,2.97,355.894,1.388,220.4269,P-EXCESS
356,17.8,1.3,2.97,359.199,1.388,221.474,P-EXCESS
357,17.85,1.3,2.97,362.52,1.388,222.5202,P-EXCESS
358,17.9,1.3,2.971,365.857,1.388,223.5654,P-EXCESS
359,17.95,1.3,2.971,369.21,1.388,224.6095,P-EXCESS
360,18.0,1.3,2.971,372.578,1.388,225.6527,P-EXCESS
361,18.05,1.3,2.971,375.962,1.389,226.6949,P-EXCESS
362,18.1,1.3,2.972,379.362,1.389,227.7361,P-EXCESS
363,18.15,1.3,2.972,382.777,1.389,228.7764,P-EXCESS
364,18.2,1.3,2.972,386.208,1.389,229.8156,P-EXCESS
365,18.25,1.2,2.972,389.654,1.389,230.8539,P-EXCESS
366,18.3,1.2,2.973,393.116,1.389,231.8912,P-EXCESS
367,18.35,1.2,2.973,396.593,1.389,232.9275,P-EXCESS
368,18.4,1.2,2.973,400.086,1.389,233.9628,P-EXCESS
369,18.45,1.2,2.973,403.595,1.389,234.9971,P-EXCESS
370,18.5,1.2,2.973,407.119,1.389,236.0305,P-EXCESS
371,18.55,1.2,2.974,410.658,1.389,237.0629,P-EXCESS
372,18.6,1.2,2.974,414.213,1.39,238.0943,P-EXCESS
373,18.65,1.2,2.974,417.783,1.39,239.1247,P-EXCESS
374,18.7,1.2,2.974,421.369,1.39,240.1542,P-EXCESS
375,18.75,1.1,2.975,424.97,1.39,241.1827,P-EXCESS
376,18.8,1.1,2.975,428.587,1.39,242.2103,P-EXCESS
377,18.85,1.1,2.975,432.219,1.39,243.2368,P-EXCESS
378,18.9,1.1,2.975,435.867,1.39,244.2624,P-EXCESS
379,18.95,1.1,2.975,439.529,1.39,245.2871,P-EXCESS
380,19.0,1.1,2.976,443.208,1.39,246.3108,P-EXCESS
381,19.05,1.1,2.976,446.901,1.39,247.3335,P-EXCESS
382,19.1,1.1,2.976,450.61,1.39,248.3552,P-EXCESS
383,19.15,1.1,2.976,454.334,1.39,249.3761,P-EXCESS
384,19.2,1.1,2.976,458.073,1.391,250.3959,P-EXCESS
385,19.25,1.1,2.976,461.828,1.391,251.4148,P-EXCESS
386,19.3,1.1,2.977,465.598,1.391,252.4327,P-EXCESS
387,19.35,1.0,2.977,469.383,1.391,253.4497,P-EXCESS
388,19.4,1.0,2.977,473.184,1.391,254.4658,P-EXCESS
389,19.45,1.0,2.977,477.0,1.391,255.4809,P-EXCESS
390,19.5,1.0,2.977,480.831,1.391,256.495,P-EXCESS
391,19.55,1.0,2.978,484.677,1.391,257.5082,P-EXCESS
392,19.6,1.0,2.978,488.538,1.391,258.5205,P-EXCESS
393,19.65,1.0,2.978,492.414,1.391,259.5318,P-EXCESS
394,19.7,1.0,2.978,496.306,1.391,260.5422,P-EXCESS
