step,phase,C_renal,psi
634,inter-session,6.702,1522.4119
635,inter-session,6.7108,1535.8165
636,inter-session,6.7193,1549.3205
637,inter-session,6.7276,1562.9231
638,inter-session,6.7357,1576.6238
639,inter-session,6.7435,1590.422
640,inter-session,6.7511,1604.3173
641,inter-session,6.7584,1618.309
642,inter-session,6.7656,1632.3966
643,inter-session,6.7725,1646.5797
644,inter-session,6.7792,1660.8577
645,inter-session,6.7857,1675.2301
646,inter-session,6.7921,1689.6965
647,inter-session,6.7982,1704.2564
648,inter-session,6.8042,1718.9094
649,inter-session,6.81,1733.655
650,inter-session,6.8156,1748.4928
651,inter-session,6.821,1763.4224
652,inter-session,6.8263,1778.4434
653,inter-session,6.8315,1793.5553
654,inter-session,6.8364,1808.7578
655,inter-session,6.8413,1824.0505
656,inter-session,6.846,1839.433
657,inter-session,6.8505,1854.905
658,inter-session,6.8549,1870.4661
659,inter-session,6.8592,1886.1159
660,intra-session,5.0,2610.6301
661,intra-session,4.95,2660.5082
662,intra-session,4.9,2711.5063
663,intra-session,4.85,2763.6589
664,intra-session,4.8,2817.0023
665,intra-session,4.75,2871.5739
666,intra-session,4.7,2927.413
667,intra-session,4.65,2984.5604
668,intra-session,4.6,3043.0589
669,intra-session,4.55,3102.953
670,intra-session,4.5,3164.2891
671,intra-session,4.45,3227.116
672,intra-session,4.4,3291.4844
673,intra-session,4.35,3357.4474
674,intra-session,4.3,3425.0608
675,intra-session,4.25,3494.3827
676,intra-session,4.2,3565.4741
677,intra-session,4.15,3638.3991
678,intra-session,4.1,3713.2248
679,intra-session,4.05,3790.0214
680,intra-session,4.0,3868.8629
681,intra-session,3.95,3949.827
682,intra-session,3.9,4032.9953
683,intra-session,3.85,4118.4537
684,intra-session,3.8,4206.2926
685,intra-session,3.75,4296.6072
686,intra-session,3.7,4389.4978
687,intra-session,3.65,4485.0704
688,intra-session,3.6,4583.4367
689,intra-session,3.55,4684.7147
690,intra-session,3.5,4789.0292
691,intra-session,3.45,4896.5122
692,intra-session,3.4,5007.3036
693,intra-session,3.35,5121.5514
694,intra-session,3.3,5239.4128
695,intra-session,3.25,5361.0546
696,intra-session,3.2,5486.6539
697,intra-session,3.15,5616.3992
698,intra-session,3.1,5750.4911
699,intra-session,3.05,5889.1435
700,intra-session,3.0,6032.5842
701,intra-session,2.95,6181.0568
702,intra-session,2.9,6334.8216
703,intra-session,2.85,6494.1571
704,intra-session,2.8,6659.3617
705,intra-session,2.75,6830.7556
706,intra-session,2.7,7008.6825
707,intra-session,2.65,7193.5124
708,intra-session,2.6,7385.6434
709,intra-session,2.55,7585.5051
710,intra-session,2.5,7793.5612
711,intra-session,2.45,8010.3135
712,intra-session,2.4,8236.3055
713,intra-session,2.35,8472.1269
714,intra-session,2.3,8718.4188
715,intra-session,2.25,8975.8792
716,intra-session,2.2,9245.2697
