step,t,phi_cardiac,c_cardiac,c_renal,psi,regime
301,15.05,1.9596,0.5661,0.3986,10000.0,overload
302,15.1,1.9594,0.5663,0.3983,10000.0,overload
303,15.15,1.9592,0.5665,0.398,10000.0,overload
304,15.2,1.959,0.5667,0.3977,10000.0,overload
305,15.25,1.9588,0.5668,0.3974,10000.0,overload
306,15.3,1.9586,0.567,0.3971,10000.0,overload
307,15.35,1.9584,0.5672,0.3968,10000.0,overload
308,15.4,1.9582,0.5674,0.3965,10000.0,overload
309,15.45,1.958,0.5675,0.3962,10000.0,overload
310,15.5,1.9578,0.5677,0.3959,10000.0,overload
311,15.55,1.9576,0.5679,0.3956,10000.0,overload
312,15.6,1.9574,0.568,0.3953,10000.0,overload
313,15.65,1.9572,0.5682,0.3951,10000.0,overload
314,15.7,1.957,0.5684,0.3948,10000.0,overload
315,15.75,1.9568,0.5686,0.3945,10000.0,overload
316,15.8,1.9566,0.5687,0.3942,10000.0,overload
317,15.85,1.9564,0.5689,0.3939,10000.0,overload
318,15.9,1.9562,0.5691,0.3936,10000.0,overload
319,15.95,1.956,0.5693,0.3933,10000.0,overload
320,16.0,1.9558,0.5694,0.393,10000.0,overload
321,16.05,1.9556,0.5696,0.3927,10000.0,overload
322,16.1,1.9554,0.5698,0.3924,10000.0,overload
323,16.15,1.9552,0.5699,0.3921,10000.0,overload
324,16.2,1.955,0.5701,0.3918,10000.0,overload
325,16.25,1.9548,0.5703,0.3915,10000.0,overload
326,16.3,1.9546,0.5704,0.3912,10000.0,overload
327,16.35,1.9544,0.5706,0.3909,10000.0,overload
328,16.4,1.9542,0.5708,0.3906,10000.0,overload
329,16.45,1.954,0.571,0.3903,10000.0,overload
330,16.5,1.9538,0.5711,0.39,10000.0,overload
331,16.55,1.9536,0.5713,0.3898,10000.0,overload
332,16.6,1.9534,0.5715,0.3895,10000.0,overload
333,16.65,1.9532,0.5716,0.3892,10000.0,overload
334,16.7,1.953,0.5718,0.3889,10000.0,overload
335,16.75,1.9528,0.572,0.3886,10000.0,overload
336,16.8,1.9526,0.5721,0.3883,10000.0,overload
337,16.85,1.9524,0.5723,0.388,10000.0,overload
338,16.9,1.9522,0.5725,0.3877,10000.0,overload
339,16.95,1.952,0.5726,0.3874,10000.0,overload
340,17.0,1.9518,0.5728,0.3871,10000.0,overload
341,17.05,1.9516,0.573,0.3868,10000.0,overload
342,17.1,1.9514,0.5731,0.3866,10000.0,overload
343,17.15,1.9512,0.5733,0.3863,10000.0,overload
344,17.2,1.951,0.5734,0.386,10000.0,overload
345,17.25,1.9508,0.5736,0.3857,10000.0,overload
346,17.3,1.9506,0.5738,0.3854,10000.0,overload
347,17.35,1.9504,0.5739,0.3851,10000.0,overload
348,17.4,1.9502,0.5741,0.3848,10000.0,overload
349,17.45,1.95,0.5743,0.3845,10000.0,overload
350,17.5,1.9498,0.5744,0.3842,10000.0,overload
351,17.55,1.9496,0.5746,0.3839,10000.0,overload
352,17.6,1.9494,0.5748,0.3837,10000.0,overload
353,17.65,1.9492,0.5749,0.3834,10000.0,overload
354,17.7,1.949,0.5751,0.3831,10000.0,overload
355,17.75,1.9488,0.5752,0.3828,10000.0,overload
356,17.8,1.9486,0.5754,0.3825,10000.0,overload
357,17.85,1.9484,0.5756,0.3822,10000.0,overload
358,17.9,1.9482,0.5757,0.3819,10000.0,overload
359,17.95,1.948,0.5759,0.3817,10000.0,overload
360,18.0,1.9478,0.576,0.3814,10000.0,overload
361,18.05,1.9476,0.5762,0.3811,10000.0,overload
362,18.1,1.9474,0.5764,0.3808,10000.0,overload
363,18.15,1.9472,0.5765,0.3805,10000.0,overload
364,18.2,1.947,0.5767,0.3802,10000.0,overload
365,18.25,1.9468,0.5768,0.3799,10000.0,overload
366,18.3,1.9466,0.577,0.3797,10000.0,overload
367,18.35,1.9464,0.5772,0.3794,10000.0,overload
368,18.4,1.9462,0.5773,0.3791,10000.0,overload
369,18.45,1.946,0.5775,0.3788,10000.0,overload
370,18.5,1.9458,0.5776,0.3785,10000.0,overload
371,18.55,1.9456,0.5778,0.3782,10000.0,overload
372,18.6,1.9454,0.5779,0.3779,10000.0,overload
373,18.65,1.9452,0.5781,0.3777,10000.0,overload
374,18.7,1.945,0.5782,0.3774,10000.0,overload
375,18.75,1.9448,0.5784,0.3771,10000.0,overload
376,18.8,1.9446,0.5786,0.3768,10000.0,overload
377,18.85,1.9444,0.5787,0.3765,10000.0,overload
378,18.9,1.9442,0.5789,0.3762,10000.0,overload
379,18.95,1.944,0.579,0.376,10000.0,overload
380,19.0,1.9438,0.5792,0.3757,10000.0,overload
381,19.05,1.9436,0.5793,0.3754,10000.0,overload
382,19.1,1.9434,0.5795,0.3751,10000.0,overload
383,19.15,1.9432,0.5796,0.3748,10000.0,overload
384,19.2,1.943,0.5798,0.3746,10000.0,overload
385,19.25,1.9428,0.5799,0.3743,10000.0,overload
386,19.3,1.9426,0.5801,0.374,10000.0,overload
387,19.35,1.9424,0.5803,0.3737,10000.0,overload
388,19.4,1.9422,0.5804,0.3734,10000.0,overload
389,19.45,1.942,0.5806,0.3732,10000.0,overload
390,19.5,1.9418,0.5807,0.3729,10000.0,overload
391,19.55,1.9416,0.5809,0.3726,10000.0,overload
392,19.6,1.9414,0.581,0.3723,10000.0,overload
393,19.65,1.9412,0.5812,0.372,10000.0,overload
394,19.7,1.941,0.5813,0.3718,10000.0,overload
395,19.75,1.9408,0.5815,0.3715,10000.0,overload
396,19.8,1.9406,0.5816,0.3712,10000.0,overload
397,19.85,1.9404,0.5818,0.3709,10000.0,overload
398,19.9,1.9402,0.5819,0.3706,10000.0,overload
399,19.95,1.94,0.5821,0.3704,10000.0,overload
400,20.0,1.9398,0.5822,0.3701,10000.0,overload
401,20.05,1.9396,0.5824,0.3698,10000.0,overload
402,20.1,1.9394,0.5825,0.3695,10000.0,overload
403,20.15,1.9392,0.5827,0.3693,10000.0,overload
404,20.2,1.939,0.5828,0.369,10000.0,overload
405,20.25,1.9388,0.5829,0.3687,10000.0,overload
406,20.3,1.9386,0.5831,0.3684,10000.0,overload
407,20.35,1.9384,0.5832,0.3682,10000.0,overload
408,20.4,1.9382,0.5834,0.3679,10000.0,overload
409,20.45,1.938,0.5835,0.3676,10000.0,overload
410,20.5,1.9378,0.5837,0.3673,10000.0,overload
411,20.55,1.9376,0.5838,0.367,10000.0,overload
412,20.6,1.9374,0.584,0.3668,10000.0,overload
413,20.65,1.9372,0.5841,0.3665,10000.0,overload
414,20.7,1.937,0.5843,0.3662,10000.0,overload
415,20.75,1.9368,0.5844,0.3659,10000.0,overload
416,20.8,1.9366,0.5846,0.3657,10000.0,overload
417,20.85,1.9364,0.5847,0.3654,10000.0,overload
418,20.9,1.9362,0.5848,0.3651,10000.0,overload
419,20.95,1.936,0.585,0.3649,10000.0,overload
420,21.0,1.9358,0.5851,0.3646,10000.0,overload
421,21.05,1.9356,0.5853,0.3643,10000.0,overload
422,21.1,1.9354,0.5854,0.364,10000.0,overload
423,21.15,1.9352,0.5856,0.3638,10000.0,overload
424,21.2,1.935,0.5857,0.3635,10000.0,overload
425,21.25,1.9348,0.5858,0.3632,10000.0,overload
426,21.3,1.9346,0.586,0.3629,10000.0,overload
427,21.35,1.9344,0.5861,0.3627,10000.0,overload
428,21.4,1.9342,0.5863,0.3624,10000.0,overload
429,21.45,1.934,0.5864,0.3621,10000.0,overload
430,21.5,1.9338,0.5865,0.3619,10000.0,overload
431,21.55,1.9336,0.5867,0.3616,10000.0,overload
432,21.6,1.9334,0.5868,0.3613,10000.0,overload
433,21.65,1.9332,0.587,0.361,10000.0,overload
434,21.7,1.933,0.5871,0.3608,10000.0,overload
435,21.75,1.9328,0.5872,0.3605,10000.0,overload
436,21.8,1.9326,0.5874,0.3602,10000.0,overload
437,21.85,1.9324,0.5875,0.36,10000.0,overload
438,21.9,1.9322,0.5877,0.3597,10000.0,overload
439,21.95,1.932,0.5878,0.3594,10000.0,overload
440,22.0,1.9318,0.5879,0.3591,10000.0,overload
441,22.05,1.9316,0.5881,0.3589,10000.0,overload
442,22.1,1.9314,0.5882,0.3586,10000.0,overload
443,22.15,1.9312,0.5883,0.3583,10000.0,overload
