step,psi_adaptive,psi_control,S_adaptive,Ms_adaptive
20.450000000000003,2628.1368,417299.6173,72.4929,81.2358
20.5,2641.298,420341.3294,72.8503,81.6155
20.55,2654.4706,422840.0568,73.2084,81.9961
20.6,2667.6855,425907.2632,73.5675,82.3775
20.650000000000002,2680.9184,428422.6481,73.9274,82.7597
20.700000000000003,2694.1917,431515.0558,74.2883,83.1428
20.75,2707.4951,434047.3666,74.6501,83.5267
20.8,2720.8349,437169.6852,75.0128,83.9116
20.85,2734.2164,439713.521,75.3764,84.2973
20.900000000000002,2747.639,442861.4925,75.7407,84.684
20.950000000000003,2761.095,445421.9899,76.1058,85.0714
21.0,2774.5899,448595.4398,76.4716,85.4598
21.05,2788.1193,451172.7995,76.8381,85.849
21.1,2801.6921,454376.3087,77.2053,86.239
21.150000000000002,2815.3011,456965.463,77.5731,86.6298
21.200000000000003,2828.9554,460194.8343,77.9417,87.0214
21.25,2842.6553,462800.6561,78.3109,87.4137
21.3,2856.3993,466055.7834,78.6809,87.8067
21.35,2870.189,468678.4621,79.0515,88.2005
21.400000000000002,2884.0229,471963.9821,79.423,88.5949
21.450000000000003,2897.9089,474598.43,79.7952,88.9901
21.5,2911.8365,477910.0792,80.1682,89.386
21.55,2925.8196,480561.2015,80.5421,89.7827
21.6,2939.8473,483898.8861,80.9168,90.1803
21.650000000000002,2953.9367,486566.9241,81.2924,90.5786
21.700000000000003,2968.068,489935.5452,81.6689,90.978
21.75,2982.257,492614.9923,82.0464,91.378
21.8,2996.4891,496010.076,82.4247,91.779
21.85,3010.7684,498706.204,82.8039,92.1809
21.900000000000002,3025.0875,502127.6054,83.1841,92.5837
21.950000000000003,3039.4483,504840.7784,83.5651,92.9874
22.0,3053.8506,508293.8985,83.947,93.3919
22.05,3068.2907,511017.7434,84.3296,93.7974
22.1,3082.7619,514497.7339,84.7131,94.2037
22.150000000000002,3097.2674,517238.2651,85.0971,94.6108
22.200000000000003,3111.7916,520744.8593,85.4818,95.0187
22.25,3126.3481,523502.642,85.8672,95.4273
22.3,3140.919,527042.0045,86.2531,95.8366
22.35,3155.522,529809.3001,86.6399,96.2466
22.400000000000002,3170.1431,533376.0244,87.0272,96.6573
22.450000000000003,3184.789,536160.0093,87.4154,97.0687
22.5,3199.4566,539753.6284,87.8042,97.4809
22.55,3214.146,542555.1566,88.1939,97.8938
22.6,3228.8607,546181.9766,88.5843,98.3077
22.650000000000002,3243.5988,548992.303,88.9756,98.7222
22.700000000000003,3258.3625,552647.0668,89.3677,99.1376
22.75,3273.1502,555474.0851,89.7606,99.5538
22.8,3287.9618,559156.0378,90.1544,99.971
22.85,3302.7973,562000.9872,90.5491,100.3891
22.900000000000002,3317.6579,565716.2179,90.9448,100.808
22.950000000000003,3332.5437,568569.4163,91.3413,101.2279
23.0,3347.4528,572313.2712,91.7387,101.6487
23.05,3362.3848,575183.1647,92.137,102.0704
