step,t,psi_sensitive,psi_resistant,drug_on,regime_sensitive,regime_resistant
472,18.88,10000.0,10000.0,False,overload,overload
473,18.92,10000.0,10000.0,False,overload,overload
474,18.96,10000.0,10000.0,False,overload,overload
475,19.0,10000.0,10000.0,False,overload,overload
476,19.04,10000.0,10000.0,False,overload,overload
477,19.08,10000.0,10000.0,False,overload,overload
478,19.12,10000.0,10000.0,False,overload,overload
479,19.16,10000.0,10000.0,False,overload,overload
480,19.2,10000.0,10000.0,False,overload,overload
481,19.24,10000.0,10000.0,False,overload,overload
482,19.28,10000.0,10000.0,False,overload,overload
483,19.32,10000.0,10000.0,False,overload,overload
484,19.36,10000.0,10000.0,False,overload,overload
485,19.4,10000.0,10000.0,False,overload,overload
486,19.44,10000.0,10000.0,False,overload,overload
487,19.48,10000.0,10000.0,False,overload,overload
488,19.52,10000.0,10000.0,False,overload,overload
489,19.56,10000.0,10000.0,False,overload,overload
490,19.6,10000.0,10000.0,False,overload,overload
491,19.64,10000.0,10000.0,False,overload,overload
492,19.68,10000.0,10000.0,False,overload,overload
493,19.72,10000.0,10000.0,False,overload,overload
494,19.76,10000.0,10000.0,False,overload,overload
495,19.8,10000.0,10000.0,False,overload,overload
496,19.84,10000.0,10000.0,False,overload,overload
497,19.88,10000.0,10000.0,False,overload,overload
498,19.92,10000.0,10000.0,False,overload,overload
499,19.96,10000.0,10000.0,False,overload,overload
500,20.0,10000.0,10000.0,False,overload,overload
501,20.04,10000.0,10000.0,False,overload,overload
502,20.08,10000.0,10000.0,False,overload,overload
503,20.12,10000.0,10000.0,False,overload,overload
504,20.16,10000.0,10000.0,False,overload,overload
505,20.2,10000.0,10000.0,False,overload,overload
506,20.24,10000.0,10000.0,False,overload,overload
507,20.28,10000.0,10000.0,False,overload,overload
508,20.32,10000.0,10000.0,False,overload,overload
509,20.36,10000.0,10000.0,False,overload,overload
510,20.4,10000.0,10000.0,False,overload,overload
511,20.44,10000.0,10000.0,False,overload,overload
512,20.48,10000.0,10000.0,False,overload,overload
513,20.52,10000.0,10000.0,False,overload,overload
514,20.56,10000.0,10000.0,False,overload,overload
515,20.6,10000.0,10000.0,False,overload,overload
516,20.64,10000.0,10000.0,False,overload,overload
517,20.68,10000.0,10000.0,False,overload,overload
518,20.72,10000.0,10000.0,False,overload,overload
519,20.76,10000.0,10000.0,False,overload,overload
520,20.8,10000.0,10000.0,False,overload,overload
521,20.84,10000.0,10000.0,False,overload,overload
522,20.88,10000.0,10000.0,False,overload,overload
523,20.92,10000.0,10000.0,False,overload,overload
524,20.96,10000.0,10000.0,False,overload,overload
525,21.0,10000.0,10000.0,False,overload,overload
526,21.04,10000.0,10000.0,False,overload,overload
527,21.08,10000.0,10000.0,False,overload,overload
528,21.12,10000.0,10000.0,False,overload,overload
529,21.16,10000.0,10000.0,False,overload,overload
530,21.2,10000.0,10000.0,False,overload,overload
531,21.24,10000.0,10000.0,False,overload,overload
532,21.28,10000.0,10000.0,False,overload,overload
533,21.32,10000.0,10000.0,False,overload,overload
534,21.36,10000.0,10000.0,False,overload,overload
535,21.4,10000.0,10000.0,False,overload,overload
536,21.44,10000.0,10000.0,False,overload,overload
537,21.48,10000.0,10000.0,False,overload,overload
538,21.52,10000.0,10000.0,False,overload,overload
539,21.56,10000.0,10000.0,False,overload,overload
540,21.6,10000.0,10000.0,False,overload,overload
541,21.64,10000.0,10000.0,False,overload,overload
542,21.68,10000.0,10000.0,False,overload,overload
543,21.72,10000.0,10000.0,False,overload,overload
544,21.76,10000.0,10000.0,False,overload,overload
545,21.8,10000.0,10000.0,False,overload,overload
546,21.84,10000.0,10000.0,False,overload,overload
547,21.88,10000.0,10000.0,False,overload,overload
548,21.92,10000.0,10000.0,False,overload,overload
549,21.96,10000.0,10000.0,False,overload,overload
550,22.0,10000.0,10000.0,False,overload,overload
551,22.04,10000.0,10000.0,False,overload,overload
552,22.08,10000.0,10000.0,False,overload,overload
553,22.12,10000.0,10000.0,False,overload,overload
554,22.16,10000.0,10000.0,False,overload,overload
555,22.2,10000.0,10000.0,False,overload,overload
556,22.24,10000.0,10000.0,False,overload,overload
557,22.28,10000.0,10000.0,False,overload,overload
558,22.32,10000.0,10000.0,False,overload,overload
559,22.36,10000.0,10000.0,False,overload,overload
560,22.4,10000.0,10000.0,False,overload,overload
561,22.44,10000.0,10000.0,False,overload,overload
562,22.48,10000.0,10000.0,False,overload,overload
563,22.52,10000.0,10000.0,False,overload,overload
564,22.56,10000.0,10000.0,False,overload,overload
565,22.6,10000.0,10000.0,False,overload,overload
566,22.64,10000.0,10000.0,False,overload,overload
567,22.68,10000.0,10000.0,False,overload,overload
568,22.72,10000.0,10000.0,False,overload,overload
569,22.76,10000.0,10000.0,False,overload,overload
570,22.8,10000.0,10000.0,False,overload,overload
571,22.84,10000.0,10000.0,False,overload,overload
572,22.88,10000.0,10000.0,False,overload,overload
