scenario,t,flux_proxy_phi,constraint_proxy_C,responsiveness_S,memory_Ms,psi_s_proxy,constraint_signal,flux_decline_signal
early_disease,11.200000000000001,0.9064018252689137,1.3654368843092546,0.926912623138149,1.055726595411069,0.6495901039380441,1,1
early_disease,11.4,0.905338299451808,1.3683546201032957,0.9263290759793409,1.0571518735460534,0.6479103388974407,1,1
early_disease,11.600000000000001,0.9042817542146625,1.3712522493199624,0.9257495501360076,1.05858254049543,0.6462560943176635,1,1
early_disease,11.8,0.9032316025464181,1.3741320307090006,0.9251735938581999,1.0600184909558945,0.6446252773249344,1,1
decompensated,0.0,1.0,1.0071035734911773,0.9985792853017645,1.0000156278616805,0.991551333195086,0,0
decompensated,0.2,1.0,1.0354226912577815,0.9929154617484437,1.0002335348572304,0.9591709265252991,0,0
decompensated,0.4,1.0,1.0635530362134913,0.9872893927573018,1.0006977831529023,0.9289412685803156,0,0
decompensated,0.6000000000000001,1.0,1.0915699619694539,0.9816860076061092,1.0014056774924707,0.9005981987246954,0,0
decompensated,0.8,0.9977269087290193,1.119323380502842,0.9761353238994316,1.0023537362209718,0.8721419017175901,1,0
decompensated,1.0,0.9903418628210444,1.1469043177944647,0.9706191364411071,1.003538964212196,0.8410872289204437,1,0
decompensated,1.2000000000000002,0.9798669108480135,1.1743003901783668,0.9651399219643266,1.0049582857287396,0.8093310499097431,1,0
decompensated,1.4000000000000001,0.9675838761973434,1.2014867763985335,0.9597026447202933,1.0066085079276634,0.7779772830213022,1,0
decompensated,1.6,0.9542736180644412,1.2284242409847546,0.954315151803049,1.0084859826850439,0.7476291478579408,1,0
decompensated,1.8,0.940379579887013,1.2552299728155987,0.9489540054368802,1.0105880195240415,0.7184543814805164,1,0
decompensated,2.0,0.9261876533527813,1.2817317527486,0.94365364945028,1.0129112715970254,0.690694299549606,1,1
decompensated,2.2,0.9118648508313548,1.3080627776041938,0.9383874444791612,1.0154524608411901,0.6642685218944084,1,1
decompensated,2.4000000000000004,0.8975176417533651,1.3341281474474065,0.9331743705105187,1.018208150301636,0.6392118512625359,1,1
decompensated,2.6,0.8832068923487206,1.3599606474463897,0.9280078705107221,1.0211750188285844,0.6154431602883739,1,1
decompensated,2.8000000000000003,0.8689916607983053,1.3854456308155692,0.9229108738368862,1.0243488873219084,0.5929714508478927,1,1
decompensated,3.0,0.8548887427389688,1.4106805975116408,0.9178638804976719,1.0277263000331336,0.5716584871373083,1,1
decompensated,3.2,0.8409233682795655,1.4355870728680746,0.9128825854263851,1.0313032558189192,0.5514780019022817,1,1
decompensated,3.4000000000000004,0.8271091819615296,1.4601973778366049,0.907960524432679,1.0350758140704557,0.5323416001741366,1,1
decompensated,3.6,0.8134530271001497,1.484493957603311,0.9031012084793378,1.0390401199435795,0.5141890051470086,1,1
decompensated,3.8000000000000003,0.7999658751111481,1.508439389964096,0.8983121220071808,1.0431920820253597,0.4969756825722143,1,1
decompensated,4.0,0.7866532969257833,1.5320389965143815,0.8935922006971238,1.047527668794604,0.48063834966100344,1,1
decompensated,4.2,0.7735202454441126,1.5553061772952446,0.8889387645409511,1.0520427840904787,0.4651157383554268,1,1
decompensated,4.4,0.7605855241429611,1.5781826956243443,0.8843634608751312,1.0567327310725265,0.45038791444061294,1,1
decompensated,4.6000000000000005,0.7478427545776845,1.6006976963196644,0.8798604607360672,1.0615935670797516,0.43638825196784703,1,1
decompensated,4.800000000000001,0.7352956395519982,1.622843339415385,0.875431332116923,1.0666210638337414,0.4230752651169079,1,1
decompensated,5.0,0.7229564123767503,1.6445888016529435,0.8710822396694113,1.0718106095431055,0.410423288818728,1,1
decompensated,5.2,0.7108205185561562,1.6659840440967024,0.8668031911806595,1.077158084107085,0.39837223735517696,1,1
decompensated,5.4,0.6988876101170012,1.6870095334055053,0.8625980933188989,1.0826593032103509,0.38689232146843633,1,1
decompensated,5.6000000000000005,0.6871498876987399,1.7076860761903023,0.8584627847619395,1.0883104400623944,0.37593928458616055,1,1
decompensated,5.800000000000001,0.6756054673119467,1.72804773677511,0.854390452644978,1.0941075196842476,0.36547174722212766,1,1
decompensated,6.0,0.6642608319402661,1.748015575210053,0.8503968849579894,1.100046355058501,0.35548885868947794,1,1
decompensated,6.2,0.653102309622002,1.7676911587001483,0.8464617682599703,1.1061234229926604,0.34592803992070026,1,1
decompensated,6.4,0.6421357957441346,1.786959020665457,0.8426081958669086,1.112334735150643,0.33680107222129113,1,1
decompensated,6.6000000000000005,0.6313618372817141,1.8059380006020287,0.8388123998795942,1.11867635410376,0.32805358720429634,1,1
decompensated,6.800000000000001,0.6207636651671395,1.8246379785073725,0.8350724042985255,1.1251450790824291,0.31965554017396397,1,1
decompensated,7.0,0.6103368321640638,1.8430338011100942,0.8313932397779812,1.1317375407377108,0.311593572058288,1,1
decompensated,7.2,0.600072323222281,1.8611581275152675,0.8277683744969465,1.1384506146222448,0.3038388817953074,1,1
decompensated,7.4,0.5899603121806979,1.879034978198331,0.8241930043603338,1.1452813702822073,0.29636645987730714,1,1
decompensated,7.6000000000000005,0.5799992353200483,1.8966478612844178,0.8206704277431165,1.1522267365031023,0.28916614684405195,1,1
decompensated,7.800000000000001,0.5701907878578863,1.9139893659377722,0.8172021268124455,1.1592835396797139,0.28222782812032854,1,1
decompensated,8.0,0.5605121218881329,1.9311940449630947,0.8137611910073811,1.1664495479621073,0.2755002701112632,1,1
decompensated,8.200000000000001,0.5509504174388223,1.9481915937977012,0.8103616812404597,1.1737225705866963,0.26898322993621404,1,1
decompensated,8.4,0.5415010774809829,1.965005608937363,0.8069988782125274,1.1811002783208298,0.26266078242550334,1,1
decompensated,8.6,0.5321476988836468,1.9817061253028112,0.8036587749394377,1.1885808822181996,0.2565035430399028,1,1
decompensated,8.8,0.5228866622411702,1.9982540386650065,0.8003491922669987,1.1961623889730923,0.2505108371818461,1,1
decompensated,9.0,0.5137068688783902,2.0146788155344235,0.7970642368931153,1.203843159772798,0.24466552902659622,1,1
decompensated,9.200000000000001,0.5045987227838897,2.0310236841005334,0.7937952631798934,1.2116216660532662,0.238949811821075,1,1
decompensated,9.4,0.49556182081457834,2.047182579072807,0.7905634841854386,1.2194962343479232,0.2333772279462348,1,1
decompensated,9.600000000000001,0.48658728240059684,2.0633364467566766,0.7873327106486647,1.227465433072424,0.2279073178167389,1,1
decompensated,9.8,0.4776615080656127,2.0793974483597033,0.7841205103280593,1.2355282898863515,0.22254520766281888,1,1
decompensated,10.0,0.4687794883830199,2.0954288642337793,0.7809142271532441,1.243683632359115,0.21727458679380943,1,1
decompensated,10.200000000000001,0.46128698085310177,2.1114041341730836,0.7777191731653833,1.2519307142183125,0.21271735783394696,1,1
decompensated,10.4,0.45676875004601397,2.127360800039374,0.7745278399921253,1.2602685661823476,0.20958266984423787,1,1
decompensated,10.600000000000001,0.45405918799559436,2.143223415952722,0.7713553168094556,1.2686961848771772,0.20732760644791495,1,1
decompensated,10.8,0.45243427620632565,2.1590618842590525,0.7681876231481894,1.2772124056071614,0.20559892652150796,1,1
decompensated,11.0,0.4514598241458919,2.1748852311870546,0.7650229537625891,1.2858165826649501,0.20419083835331875,1,1
decompensated,11.200000000000001,0.45087544976670735,2.1905947263219105,0.7618810547356178,1.2945075001784156,0.2029954464925718,1,1
decompensated,11.4,0.4505250031630075,2.2063079627119215,0.7587384074576157,1.3032843843853694,0.20192218001156217,1,1
decompensated,11.600000000000001,0.4503148419608409,2.221979664998422,0.7556040670003157,1.312146488227089,0.20093370412442824,1,1
decompensated,11.8,0.4501888092630496,2.2376112987692993,0.7524777402461401,1.3210929944460053,0.2000032696600995,1,1
